voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-283.8620789,-301.6833838,585.5454626,-13.46447678,19.51665231,-6.052175236,1
-171.8225164,-398.9441568,570.7666732,-16.22825633,18.21178978,-1.983534136,1
-52.35804635,-478.9654858,531.3235321,-18.29089864,16.11955119,2.171345858,1
69.36895325,-538.2894358,468.9204826,-19.56327144,13.33034774,6.232921283,1
188.0983344,-574.3524611,386.2541267,-19.99039208,9.96470839,10.02568061,1
298.6994841,-585.596182,286.8966979,-19.55380356,6.168071391,13.38572859,1
396.393032,-571.5347276,175.1416955,-18.27237201,2.104499568,16.16786855,1
476.9573797,-532.7757307,55.81835096,-16.2014715,-2.050409292,18.25187679,1
536.9111269,-470.9940708,-65.91705614,-13.43059115,-6.117110486,19.54769773,1
573.6635125,-388.8594981,-184.8040144,-10.07946808,-9.919870996,19.99933548,1
585.626368,-289.9212663,-295.7051017,-6.292913241,-13.29436339,19.58727352,1
572.2827465,-178.4547601,-393.8279864,-2.234553745,-16.09476684,18.32931813,1
534.2092615,-59.27674417,-474.9325173,1.920237885,-18.20006842,16.27982889,1
473.0511697,62.4627818,-535.5139515,5.991922037,-19.51929243,13.52736966,1
391.4512751,181.5031285,-572.9544037,9.804550398,-19.99543166,10.19088151,1
292.9357268,292.7002455,-585.6359723,13.19336914,-19.60791085,6.414542953,1
181.761644,391.2490089,-573.0106529,16.01193839,-18.37347577,2.361539614,1
62.73315508,472.8908641,-535.6240192,18.13846026,-16.34546965,-1.792987459,1
-59.00620179,534.097849,-475.0916472,19.48104208,-13.611528,-5.869510109,1
-178.1957446,572.2250467,-394.0293021,19.98166733,-10.28979171,-9.691870959,1
-289.6849757,585.6248794,-295.9399037,19.61870265,-6.523801831,-13.09489564,1
-388.6561482,573.7183046,-185.0621564,18.40783273,-2.476296807,-15.93153041,1
-470.8324541,537.0198371,-66.18738307,16.40138249,1.67781991,-18.07919676,1
-532.6628362,477.1153156,55.54752063,13.68605599,5.759037888,-19.44508832,1
-571.475439,396.5933739,174.8820651,10.37918974,9.590996845,-19.97018131,1
-585.5930666,298.9335798,286.6594867,6.623682238,13.00810764,-19.63178509,1
-574.4056585,188.3560732,386.0495853,2.581818989,15.86270784,-18.44452269,1
-538.3966525,69.63920277,468.7574497,-1.571740325,18.03144258,-16.4596989,1
-479.1220937,-52.08695918,531.2090529,-5.657509332,19.42059507,-13.76308329,1
-399.1433937,-171.5623008,570.7056945,-9.498931058,19.97013636,-10.47120383,1
